actors,business,categoryid,categoryname,cityid,cityname,description,id,imgurl,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,projectid,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,tours,venue,venuecity,venueid,verticalPic,favourable
,0,1,演唱会,852,北京,SPYAIR WORLD TOUR 2018 北京站,1_1_165004,1650,0,1,0,0,SPYAIR WORLD TOUR 2018 北京站,SPYAIR WORLD TOUR 2018 北京站,480.0,480-880,880.0,165004,售票中,,2018.11.11  19:30,3,9,流行,SPYAIR WORLD TOUR 2018 北京站,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1650/165004_n.jpg?_t=1538292778092,
,0,1,演唱会,852,北京,网易云音乐出品的Single Holiday自在假期生活节来啦！,1_1_161477,1614,0,1,0,0,网易云音乐·自在假期生活节（Single Holiday Festival）,网易云音乐·自在假期生活节（Single Holiday Festival）,240.0,240-660,660.0,161477,售票中,,2018.10.13-10.14,3,12,音乐节,网易云音乐出品的Single Holiday自在假期生活节来啦！,,怀柔区通盈·雁栖湖高尔夫俱乐部场内绿地,北京,60916,https://pimg.dmcdn.cn/perform/project/1614/161477_n.jpg?_t=1538797157237,
,0,1,演唱会,852,北京,未来有你 初音未来,1_1_164012,1640,0,1,0,0,未来有你·初音未来2018巡回演唱会 北京站10月13日 （夜场）,未来有你·初音未来2018巡回演唱会 北京站10月13日 （夜场）,680.0,680-1480,1480.0,164012,售票中,,2018.10.13 19:30,3,9,流行,未来有你 初音未来,,M空间,北京,53764,https://pimg.dmcdn.cn/perform/project/1640/164012_n.jpg?_t=1537435168462,
艺人: 周迅、蔡依林、吴青峰、窦靖童、白举纲,0,1,演唱会,852,北京,艺人: 周迅、蔡依林、吴青峰、窦靖童、白举纲,1_1_162529,1625,0,1,0,0,2018“ONE NIGHT 给小孩”公益演唱会,2018“ONE NIGHT 给小孩”公益演唱会,380.0,380-1280,1280.0,162529,售票中,,2018.10.19  19:30,3,9,流行,周迅携手蔡依林、吴青峰、窦靖童、白举纲、马伯骞，一起用爱点亮夜空。,,北京工人体育馆,北京,2,https://pimg.dmcdn.cn/perform/project/1625/162529_n.jpg?_t=1537929368711,
艺人: 张信哲,0,1,演唱会,852,北京,艺人: 张信哲,1_1_158695,1586,0,1,0,0,2018张信哲巡回演唱会北京站——未来式,2018张信哲巡回演唱会北京站——未来式,380.0,380-1680,1680.0,158695,售票中,,2018.10.13--10.14,3,9,流行,活在真实的当下，我们用爱追寻着～<br />,,凯迪拉克中心,北京,682,https://pimg.dmcdn.cn/perform/project/1586/158695_n.jpg?_t=1539072922651,
,0,1,演唱会,852,北京,Blue Note Beijing BASIA,1_1_164489,1644,0,1,0,0,Blue Note Beijing BASIA,Blue Note Beijing BASIA,260.0,260-400,400.0,164489,售票中,,2018.11.10-11.11,3,9,流行,Blue Note Beijing BASIA,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1644/164489_n.jpg?_t=1538018545881,
艺人: 毛不易,0,1,演唱会,852,北京,艺人: 毛不易,1_1_160516,1605,0,1,0,0,毛不易 2018 全国巡回演唱会 北京站,毛不易 2018 全国巡回演唱会 北京站,380.0,380-1280,1280.0,160516,售票中,,2018.10.13 19:30,3,9,流行,2018年，毛不易人生中第一场巡回演唱会启动,,北京工人体育馆,北京,2,https://pimg.dmcdn.cn/perform/project/1605/160516_n.jpg?_t=1537241056321,
艺人: 蝎子乐队,0,1,演唱会,852,北京,艺人: 蝎子乐队,1_1_162044,1620,0,1,0,0,Scorpions “Crazy World Tour ”- Beijing 蝎子乐队“极限宇宙”北京演唱会,Scorpions “Crazy World Tour ”- Beijing 蝎子乐队“极限宇宙”北京演唱会,180.0,180-3960,3960.0,162044,预售,,2018.11.17 20:00,8,10,摇滚,为乐迷带来一场极具震撼性的现场体验。,,奥体中心体育馆,北京,409,https://pimg.dmcdn.cn/perform/project/1620/162044_n.jpg?_t=1536568720731,
,0,1,演唱会,852,北京,不论你是叫他们水姐还是星期三的康帕内拉还是Wednesday Campanella，相信你都对她印象深刻。,1_1_163482,1634,0,1,0,0,东瀛异想系歌姬-水曜日のカンパネラ（星期三的康帕内拉）2018“Galapagos Tour”中国巡演北京站,东瀛异想系歌姬-水曜日のカンパネラ（星期三的康帕内拉）2018“Galapagos Tour”中国巡演北京站,300.0,300,300.0,163482,售票中,,2018.10.19  20:30,3,9,流行,不论你是叫他们水姐还是星期三的康帕内拉还是Wednesday Campanella，相信你都对她印象深刻。,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1634/163482_n.jpg?_t=1536912453157,
,0,1,演唱会,852,北京,Blue Note Beijing MARTHA HIGH & THE SOUL COOKERS,1_1_163898,1638,0,1,0,0,Blue Note Beijing MARTHA HIGH & THE SOUL COOKERS,Blue Note Beijing MARTHA HIGH & THE SOUL COOKERS,220.0,220-360,360.0,163898,售票中,,2018.10.11-10.12,3,9,流行,Blue Note Beijing MARTHA HIGH & THE SOUL COOKERS,,Blue Note Beijing,北京,61359,https://pimg.dmcdn.cn/perform/project/1638/163898_n.jpg?_t=1537347452459,
,0,1,演唱会,852,北京,浪漫轻盈的另类R&B絮语,1_1_162963,1629,0,1,0,0,影响城市之声Presents RHYE 2018 CHINA TOUR,影响城市之声Presents RHYE 2018 CHINA TOUR,350.0,350,350.0,162963,售票中,,2018.11.14   21:00,3,9,流行,浪漫轻盈的另类R&B絮语,,疆进酒·OMNI SPACE,北京,81595,https://pimg.dmcdn.cn/perform/project/1629/162963_n.jpg?_t=1536571312047,
,0,1,演唱会,852,北京,流行清爽的风格让V.K克的音乐总是能够在乐迷中如引力波一般迅速的传播发散。,1_1_162656,1626,0,1,0,0,【万有音乐系】《V.K克“时空涟漪”2018巡回演奏会》—北京,【万有音乐系】《V.K克“时空涟漪”2018巡回演奏会》—北京,299.0,299-499,499.0,162656,售票中,,2018.12.01  19:30,3,9,流行,流行清爽的风格让V.K克的音乐总是能够在乐迷中如引力波一般迅速的传播发散。,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1626/162656_n.jpg?_t=1536138550550,
,0,1,演唱会,852,北京,将所有未讲完的故事、未充分施展的匠心、未彻底释放的能量，献给更多未曾谋面的乐迷。,1_1_163367,1633,0,1,0,0,贰佰2018“贰佰没有五”个人演唱会-北京站,贰佰2018“贰佰没有五”个人演唱会-北京站,200.0,200-600,600.0,163367,预售,,2019.01.13 19:30,8,9,流行,将所有未讲完的故事、未充分施展的匠心、未彻底释放的能量，献给更多未曾谋面的乐迷。,,北京展览馆剧场,北京,26,https://pimg.dmcdn.cn/perform/project/1633/163367_n.jpg?_t=1536830351031,
,0,1,演唱会,852,北京,能充分发挥男女不同声部、声区、音色的表现力，并在整体上保持音质的协调和格调的统一，表现形式更加丰富。,1_1_158368,1583,0,1,0,0,WOW人声乐团 2018Begin anew再出发演唱会 北京站,WOW人声乐团 2018Begin anew再出发演唱会 北京站,100.0,100,100.0,158368,售票中,,2018.10.13  20:00,3,9,流行,能充分发挥男女不同声部、声区、音色的表现力，并在整体上保持音质的协调和格调的统一，表现形式更加丰富。,,凯迪拉克中心-MAO Livehouse,北京,92428,https://pimg.dmcdn.cn/perform/project/1583/158368_n.jpg?_t=1531970739242,
,0,1,演唱会,852,北京,来自青藏高原的灵魂歌者，德格叶外形阳光俊朗，声音温暖纯净，歌曲风格多变！,1_1_159010,1590,0,1,0,0,《“相见”德格叶个人演唱会》北京站,《“相见”德格叶个人演唱会》北京站,98.0,98-1080,1080.0,159010,售票中,,2018.10.14 19:30,3,9,流行,来自青藏高原的灵魂歌者，德格叶外形阳光俊朗，声音温暖纯净，歌曲风格多变！,,京演民族宫大剧院,北京,42,https://pimg.dmcdn.cn/perform/project/1590/159010_n.jpg?_t=1532428661525,
,0,1,演唱会,852,北京,TF的歌就像是给你庸扰世界的打开一扇大门，你可以在其中狂妄，你可以潇洒，你也可以忘却自我。,1_1_156492,1564,0,0,0,0,The Fratellis 2018 Tour in Beijing,The Fratellis 2018 Tour in Beijing,480.0,480-1080,1080.0,156492,售票中,,2018.10.21 20:00,3,9,流行,TF的歌就像是给你庸扰世界的打开一扇大门，你可以在其中狂妄，你可以潇洒，你也可以忘却自我。,,糖果TANGO-雍和宫店三层,北京,27,https://pimg.dmcdn.cn/perform/project/1564/156492_n.jpg?_t=1530243624798,
艺人: 小野丽莎,0,1,演唱会,852,北京,艺人: 小野丽莎,1_1_154640,1546,0,1,0,0,2018小野丽莎北京演唱会,2018小野丽莎北京演唱会,280.0,280-1500,1500.0,154640,售票中,,2018.12.25 20:00,3,9,流行,这是一种只属于爱，鲜花和欢笑的心灵音乐。,,北京展览馆剧场,北京,26,https://pimg.dmcdn.cn/perform/project/1546/154640_n.jpg?_t=1532508650770,['9|||圣诞套票1500元（880套票区*2）;']
